// WARNING: Do not edit this file
// Any edits made to this file will be lost if you install a new version of the plugin
// Instead, add custom frame targets in a new file named "ssf_custom.txt"

puckman,292
puckpkmn,38
pulirula,323
pulsar,4
pulstar,243
punchout,32
punisher,473
punkshot,156
pururun,192
pushman,195
puyo,20
puyopuy2,216
puyosun,1377
puzlclub,747|168
puzldama,1024
puzzledp,243
puzzli,397
puzzloop,415
puzznic,200
pwrgoal,665
pwrinst2,533
pzlbowl,302
pzloop2,705
qad,645
qb3,230
qbert,5
qbertqub,34
qcrayon,650
qcrayon2,820
qdrmfgp,1450
qdrmfgp2,2650
qgakumon,769
qgh,733
qix,84
qjinsei,600
qmhayaku,163
qndream,496
qrouka,269
qsangoku,0
qtheater,888
qtono1,0
qtono2,422
qtorimon,429
quantum,350
quarterb,63
quartet,8
quasar,90
quester,766|107
quiz18k,605
quiz365,406
quizchq,202|177
quizdai2,243
quizdais,243
quizdna,12
quizf1,501
quizhq,49
quizhuhu,847
quizkof,243
quizmeku,917
quizmoon,546
quizpani,119
quiztou,695|116
quiztvqq,176
qwak,195
qzchikyu,186
qzkklgy2,638
qzkklogy,702
qzquest,576
qzshowby,202
r2dtank,145
rabiolep,625
racedriv,456
rachero,86
racinfrc,942
racknrol,23
radarscp,260
radarzon,0
radikalb,357
radm,14
radr,79
radrad,439
raflesia,15
ragnagrd,243
raiden,42
raiden2,30
raiders,550
raiders5,1443
raimais,529
rainbow,376
rallybik,517
rallyx,760
rambo3,122
rambo3u,515
rampage,16
rampart,360
raphero,99
rastan,11
raverace,324
raystorm,0
razmataz,331
rbff1,243
rbff2,243
rbffspec,243
rbibb,7
rchase,443
rdft,44
rdft2,31
reactor,0
realbrk,770
recalh,922
recordbr,134
redalert,0|60
redbaron,60
redclash,0
redlin2p,73
redrobin,382
redufo,0
regulus,61
reikaids,333
relief,0
renaiclb,144
renegade,115
renju,686
rescraid,594
rescue,0
retofinv,0
revx,5089
rezon,359
rfjet,31
ribbit,17
ridger2j,0
ridgera2,0
ridgerac,71
ridgeracj,697
ridhero,243
ridingf,485
ridleofp,135
rimrockn,140
ringdest,412
ringrage,204
riot,973
riotcity,731
ripcord,0
ripoff,9
rjammer,117
rmhaihai,73
rmhaijin,77
rmhaisei,73
rmpgwt,414
roadblst,290
roadf,423
roadriot,577
roadrunn,80
robby,58
roboarmy,243
robocop,19
robocop2,200
robokid,532
robotbwl,274
robotron,735
robowres,12
rockclim,231
rockmanj,460
rockn,96
rockrage,218
rocktrv2,1074
rocnrope,380
rodland,39
rohga,2
roishtar,66
roldfrog,29
rollerg,968
rollingc,269
rompers,700|186
rongrong,373
rotaryf,607
rotd,243
rougien,0
roundup,2
roundup5,446
route16,58
royalmah,0
rpatrolb,157
rrreveng,998
rsgun,1197
rshark,462
rthun2,222
rthunder,158
rtriv,431
rtype,318
rtype2,705
rtypeleo,436
runaway,25
rungun,128
rungun2,49
rushhero,0
rvschool,993
rygar,381
ryorioh,67
ryouran,39
ryujin,359
ryukyu,318
s1945,148
s1945ii,648
s1945iii,651
s1945p,243
sabotenb,27
sadari,4
safari,0
safarir,2
sailormn,1969
sailorws,199
salamand,465
salmndr2,1416
samsho,243
samsho2,243
samsho3,243
samsho4,243
samurai,0
samuraia,89
sandscrp,607
sarge,34
sasuke,16
satansat,140
saturn,91
sauro,309
savagere,243
sbagman,563
sbasebal,68
sbasketb,407
sbishi,719
sbm,552
sbomberb,649
sbowling,150
sbrkout,0
scandal,333
scfinals,554
schaser,48
schmeisr,604
sci,107
scion,286
scobra,526
scontra,336
scorpion,571
scotrsht,97
scramble,303
scregg,0
screwloo,21
scross,41
scudhamm,202
sdgndmps,511
sdi,291
sdodgeb,243
sdtennis,4
sdungeon,98
seabass,0
searchar,142
searchey,119
seawolf,26
seawolf2,228
secolove,309
sectionz,294
seganinj,202
seicross,608
seiha,591
selfeena,239
sengekis,1188
sengokmj,0
sengoku,243
sengoku2,243
sengoku3,243
senjyo,385
senknow,1007
senkyu,22
sentetst,0
sextriv1,403
sexyparo,808
sf,794
sf2,889
sf2ce,895
sfa,495
sfa2,1045
sfa3,727
sfchamp,0
sfex,447
sfex2,694
sfex2p,928
sfexp,451
sfiii,0
sfiii2,0
sfiii3,0
sfish2,0
sflush,33
sfootbal,598
sfposeid,628
sfru2049,0
sfrush,0
sftm,68
sfx,90
sgemf,1012
sgladiat,261
sgmast,0
sgunner,152
sgunner2,172
shackled,260
shadfrce,971
shadowld,285|239
shadoww,1313
shangha2,239
shangha3,727
shanghai,354
shangkid,521
shangon,600
shanhigw,1237
sharkatt,38
sharrier,28
shdancer,6
sheriff,23
shienryu,1208
shimpact,70
shinobi,10
shippumd,543
shisen2,619
shngmtkb,0
shocking,12
shocktr2,243
shocktro,243
shogwarr,0
shollow,83
shootbul,177
shootgal,52
shootout,3
shougi,0
showdown,1803
shrike,622
shtrider,18
shuffle,47
shufshot,583
shuuz,297
sia2650,498
sichuan2,143
sidearms,283
sidepckt,4
sidetrac,9
silentd,273
silkroad,614
silkworm,822
simpbowl,0
simpsons,600
sindbadm,5
sinistar,0
sjryuko,82
skullxbo,383
skyadvnt,751
skyalert,219
skyarmy,0
skybase,29
skybump,9
skychut,0
skydiver,4
skyfox,0
skykid,494
skykiddx,504
skylancr,28
skyraid,217
skyskipr,2
skysmash,302
skysoldr,975
slammast,488
slapfigh,0
slapshot,641
slikshot,348
slipstrm,0
slither,0
slyspy,199
smashtv,1114|69
smgolf,9
smgp,561
smleague,0
snakepit,575
snakjack,662
snapjack,5
snapper,564
sncwgltd,199
snowboar,326
snowbro2,766
snowbros,259
socbrawl,243
soccer,15
soccerss,1084
sokonuke,420
sokyugrt,0
solarfox,248
solarq,81
soldamj,428
soldivid,657
solfigtr,114
solomon,611
solvalou,0
sonic,610
sonicbom,9
sonicwi2,243
sonicwi3,243
sonofphx,100
sonson,980
sos,396
sotsugyo,74
soulclbr,550
souledge,338
spacbeam,0
spacduel,102
spacecr,20
spacedx,480
spacefb,0
spacefev,418
spacefrt,0
spaceg,9
spacegun,242
spaceint,14
spacelnc,0
spaceod,22
spaceskr,181
spacetrk,0|121
spacewar,0
spacezap,0
spacfury,0
spang,450
sparkman,0
sparkz,0
spatter,43
spbactn,261
spcenctr,0
spcewarl,0
spcforce,7
spcfrcii,18
spcinv95,407
spcking2,634
spclaser,23
spclforc,31
spclords,238
spcpostn,0
spdball,0
spdcoin,28
spdodgeb,6
speakres,91
spec2k,184
spec2kh,190
spectar,0
speedatk,38
speedbal,175
speedfrk,178
speedspn,131
spelunk2,19
spelunkr,106
spf2t,901
spiders,387
spidey,340
spidman,10
spiker,569
spinlbrk,196
spinmast,243
splash,783
splat,652
splatter,206|151
splndrbt,228
spnchout,60
sprcros2,22
springer,378
sprint1,4
sprint4,7
sprint8,65
spy,266
spyhunt,70
spyhunt2,116
sqbert,352
sqix,686
sraider,8
sranger,186
srdarwin,530
srdmissn,102
srmp2,0
srmp3,0
srmp4,263
srmp6,477
srmp7,185
srumbler,539
ssf2,1004
ssfindo,0
sshangha,0
sshooter,35
ssi,300
ssideki,243
ssideki2,243
ssideki3,243
ssideki4,243
sslam,170
ssmissin,37
ssoldier,544
ssozumo,4
sspacaho,488
sspaceat,21
sspeedr,0
sspirits,849
ssprint,30
ssriders,319
ssrj,30
sss,0
sstingry,621
sstrangr,19
sstrike,449
stactics,151
stadhero,598
stadhr96,0
stagger1,288
stakwin,243
stakwin2,243
starblad,1191|267
starcas,0
starcrus,0
starfigh,342
starfire,0
starforc,593
stargate,710
starglad,0
stargrds,329
starhawk,0
starjack,37
starlstr,16
starshp1,0
starswep,419
startrek,2
starwars,0
statriv2,0
statriv4,3
stdragon,677
steeltal,499
stg,0
stinger,260
stkclmns,127
stlforce,13
stmblade,73
stocker,598
stoffy,162
stompin,209
stonebal,973
strahl,1060
stratab,436
stratgyx,358
stratof,847
streakng,7
streetsm,510
strhoop,243
strider,143
strider2,0
striv,63
strkfgtr,30
strkforc,808
strkzone,227
strnskil,14
strtdriv,0
strtheat,0
strvmstr,8
stunrun,180
subroc3d,140
subs,0
sucasino,154
suchipi,421
sundance,0
supbtime,18
supdrapo,240
superbik,1540
superbon,8
superbug,2|0
superchs,60
superman,67
superpac,400
superspy,243
superten,788
supertnk,0
supertr2,0
supertr3,0
superx,72
suplup,451
suprglob,558
suprgolf,0
suprloco,12
suprmrio,34
suprridr,387
suprslam,233
suprtrio,195
supxevs,5
suratk,431
surfplnt,540
survarts,221
survival,12
susume,2000
suzuk8h2,52
suzuka8h,52
suzume,119
svf,136
svolley,254
swat,12
swcourt,622
swimmer,162
sws,814|43
sws92,827|57
sws93,827|57
sws95,612
sws96,619
sws97,552|8
sws99,560
sxyreac2,272
sxyreact,83
syvalion,1221
szaxxon,5
tacscan,4
tactcian,7
tail2nos,209
tailg,1
taitogn,0
taiwanmb,284
tank8,0
tankbatt,204
tankbust,32
tankfrce,154|93
tantr,702
taotaido,409
tapper,150
targ,223
targeth,82
tattass,403
taxidrvr,139
tazmania,424
tbowl,603
tbyahhoo,852
tceptor,35
tcobra2,641
tdfever,251
tdragon,0
tdragon2,129
teamqb,68
techromn,247
tecmowcm,57
teddybb,2772|11
teedoff,492
tehkanwc,325
tekipaki,1155
tekken,264
tekken2,482
tekken3,470
tekkentt,0
teljan,41
telmahjn,212
tempest,46
tengai,149
tenkomor,162
tenthdeg,1614
term2,390
terracre,37
terraf,121
tetris,379
tetrisp,569
tetrisp2,499
tfrceac,95
tgmj,610
tgtball,59
tharrier,32
thedeep,552
theend,0
thehand,4
thehustl,292
themj,73
thepit,79
thief,331
thndrbld,26
thndrx2,266
thndzone,4
thoop2,99
thunderj,138
thunderl,420
thunderx,316
thundfox,123
tickee,0
tigerh,30
tigeroad,434
timber,157
timecris,0
timekill,270
timelimt,148
timeplt,270
timescan,0
timesold,862
timetunl,46
tinklpit,670|340
tinstar,62
titlef,13
tkmmpzdm,1507
tkoboxng,6
tmek,1450
tmmjprd,606
tmnt,606
tmnt2,248
tndrcade,210
tnextspc,548
tnk3,451
tnzs,159
todruaga,199
toffy,162
toggle,600
toki,5
tokio,3
tokisens,3
tokkae,1012
tokyogal,152
tomahawk,19
tondemo,113
tontonb,101
toobin,112
topgun,2077
tophuntr,243
topland,519
topsecex,1878
topspeed,0
toratora,733
toride2g,194
tornbase,146
torus,22
toryumon,611
totcarn,1467|124
touchgo,0
tourtabl,517
toutrun,65
toypop,198
tp84,442
tpgolf,243
trackfld,278
trally,243
tranqgun,493
transfrm,439
travrusa,288
trckydoc,365
tricktrp,474
triothep,9
triplep,164
triplew1,153
triplew2,273
triplhnt,9
tripool,216
trisport,82
triviabb,671
triviag1,669
triviag2,670
triviasp,670
triviayp,671
trivquiz,0
troangel,41
trog,411
trojan,20
tron,86
trstar,293
truco,1077
trucocl,6
truxton,324
truxton2,814
trvchlng,14
trvgns,44
trvmstr,44
tryout,10
ts2,416
tsamurai,50
tshingen,52
tshoot,776
ttmahjng,119
tturf,394
tubep,438
tugboat,2
tumblep,1
tunhunt,17
turbo,19
turbofrc,388
turbotag,35
turfmast,243
turtles,193
turtship,837
tutankhm,61
tutstomb,12
twcup90,513
twcup98,0
twinbee,1286
twinbrat,14
twincobr,569
twineag2,648
twineagl,161
twinfalc,544
twinhawk,514
twinkle,47
twinqix,552
twins,435
twinspri,243
twotiger,176
twrldc94,0
tws96,243
tylz,291
uballoon,642
uccops,870
uchuuai,293
ufosensi,7
ultennis,873
ultraman,1218
ultramhm,55
ultratnk,8
ultrax,372
umanclub,271
undrfire,359
uniwars,0
unsquad,111
untoucha,182
uopoko,521
upndown,5
upyoural,21
usclssic,399
usg185,860
usg32,686
usgames,880
usvsthem,1685
utoukond,663
valkyrie,0
valtric,15
vamphalf,1684
vandyke,624
vangrd2,29
vanguard,194
vanilla,163
vanvan,37
vaportra,62
vaportrx,0
varth,484
vasara,154
vasara2,61
vastar,262
vball,16
vblokbrk,0
vbowl,0
vcircle,393
vendetta,380
venture,1731
vf,205
vfkids,1226
vgoalsoc,0
vhunt2,1120
victnine,53
victory,0
victroad,349
videopin,0
vidvince,23
viewpoin,243
vigilant,262
vimana,536
vindctr2,101
vindictr,98
viofight,74
viostorm,1809
viper,35
viprp1,94
vliner,243
vmahjong,0
vmetal,280
volfied,33
vsav,1123
vsav2,1123
vsbball,21
vsfdf,10|0
vsgongf,74
vsgradus,1014
vsgshoe,8
vshoot,192
vsmahjng,25
vsnetscr,294
vspinbal,5
vsskykid,8
vsslalom,68
vssoccer,7
vstennis,17
vstetris,6
vulcan,858
vulgus,37
wacko,219
wakuwak7,243
wallc,192
wallst,179
wanted,264
wardner,1716
wargods,1740
warlords,0
warofbug,2
warpwarp,248
warrior,209
warriorb,622
waterski,19
wb3,13
wbbc97,41
wbeachvl,580
wbml,161
wboy,257
wcatcher,206
wcbowl,145
wcbowldx,347
wecleman,382
weddingr,1450
welltris,45
wfortune,91
wg3dh,1100
wgp,351
wh1,243
wh2,243
wh2j,243
whodunit,0
whp,243
wiggie,85
wildfang,433
wildplt,130
willow,238
wilytowr,170
winspike,932
winterht,0
wiping,374
wits,339
wiz,93
wizdfire,15
wizwarz,2
wizzquiz,0
wjammers,243
wldarrow,141
wldcourt,686|121
wmatch,12
wndrmomo,928
wndrplnt,262
wof,400
wolfpack,1
woodpek,41
wotw,0
wow,0
wpksoc,341
wrally,0
wrally2,0
wrecking,12
wrestwar,15
wrofaero,323
ws,689|106
wseries,276
wsf,121
wtennis,0
wwallyj,716
wwestern,370
wwfmania,296
wwfsstar,522
wwfwfest,209
wwjgtin,12
xenophob,76
xevi3dg,150
xevious,734
xexex,650
xmcota,491
xmen,918
xmultipl,514
xmvsf,492
xorworld,609
xsleena,109
xtheball,358
xxmissio,433
xybots,470
xyonix,496
yamagchi,42
yamato,5|0
yamyam,485
yard,444
yarunara,225
yesnoj,496
yiear,198
yosakdon,10
yosimoto,144
youjyudn,10
yuyugogo,492
zaviga,18
zaxxon,5
zedblade,243
zektor,0
zerohour,8
zeropnt,618
zeropnt2,218
zerowing,228
zerozone,4
zigzag,14
zingzip,154
zintrckb,243
znpwfv,0
zoar,0
zodiack,92
zombraid,280
zookeep,31
zunkyou,678
zupapa,243
zwackery,540|107
zzyzzyxx,0
